Date,Open,High,Low,Close,Volume,Open_10,High_10,Low_10,Close_10,Volume_10,Open_20,High_20,Low_20,Close_20,Volume_20,position_10_20,signal_10_20,Open_last_time,growth,10000,rate
0,,,,,,,,,,,,,,,,,,,,10000,0
3/11/2019,36.46112422,37.14093944,36.38452347,36.97816467,12218800,37.24331784,37.63141367,36.8482868,37.17489815,8297670,37.24997919,37.59382314,36.9491231,37.25843277,8339185,0,-1,,-0.001093114,9989.068864,-0.001093114
5/3/2019,36.90157135,37.24626746,36.54729833,37.15051651,7201000,37.64362015,37.9490589,37.31424459,37.59095879,9523390,37.67952535,37.97443148,37.43105741,37.69005814,7887075,0,-1,37.19838512,-0.007979211,9909.363976,-0.009063602
8/12/2019,37.96475905,38.04218067,37.42281876,37.60669327,4130100,38.47476244,38.79412074,37.9715337,38.39540787,8380690,38.56524691,38.9049269,38.19459975,38.59331188,7923225,0,-1,34.72280492,0.093366712,10834.56871,0.083456871
9/26/2019,36.51795614,37.03600945,36.3322361,36.76232147,8301200,36.88450592,37.24030106,36.38893191,36.79360161,9749540,37.08179785,37.44422505,36.70001318,37.10872955,8296435,0,-1,38.31649084,-0.04693892,10326.00575,0.032600575
11/21/2019,34.72920152,34.77807757,33.81038917,33.88858414,14379800,36.49352165,36.63134444,35.89629304,36.14750023,10907020,36.70172063,36.97638817,36.22618605,36.55559063,10021805,0,-1,35.43297582,-0.019862128,10120.90931,0.012090931
1/9/2020,34.56830346,34.67697458,34.1138445,34.65721893,9610400,35.71234506,35.89313897,35.31123803,35.6155262,8713950,35.83485044,36.08677691,35.49796018,35.81706753,9185290,0,-1,35.76371967,-0.033425388,9782.613984,-0.021738602
2/27/2020,30.92277136,31.53529995,30.18181037,30.3398819,14940400,33.51415937,33.86685734,32.96683627,33.28100395,11111160,33.66334033,34.03283276,33.20740187,33.56158161,12798315,0,-1,34.87456493,-0.113314491,8674.102062,-0.132589794
5/4/2020,20.45000076,20.87999916,20.12000084,20.75,16188800,21.91700001,22.45899982,21.41300011,21.83600025,16092090,22.01400003,22.60599995,21.45649986,21.98899994,17241605,0,-1,21.73999977,-0.059337581,8159.401824,-0.184059818
6/22/2020,26.60000038,26.63999939,25.85000038,26.37000084,13079500,27.92800007,28.41699963,27.05599976,27.58300018,16926000,28.13250008,28.58099976,27.35249996,27.87250013,16812760,0,-1,23.06999969,0.153012602,9407.89313,-0.059210687
8/7/2020,26.47999954,26.80999947,26.17000008,26.71999931,8038600,25.87300014,26.24799995,25.39200001,25.91199989,14950100,25.95650005,26.42350006,25.579,26.06349993,13241685,0,-1,26.17000008,0.011845604,9519.335309,-0.048066469
9/25/2020,28.86000061,29.21999931,28.55999947,29,9350400,30.54699993,31.10699997,29.99100018,30.48600025,14029440,30.57700005,31.14250011,29.979,30.48500013,16667610,0,-1,28.98999977,-0.004484276,9476.647982,-0.052335202
12/15/2020,41.99000168,42.15999985,41.31000137,41.65999985,12510300,43.6230011,43.86000023,42.94799957,43.36800003,12474930,43.8130003,44.30350018,43.14349976,43.72550011,15171000,0,-1,32.36000061,0.297589644,12296.80028,0.229680028
2/24/2021,51.95000076,53.20999908,51.29000092,52.90000153,18375000,52.87800026,53.44300003,51.94599991,52.90499992,22009920,52.8960001,53.68249989,52.09049988,53.00350018,24186105,0,-1,43.31000137,0.199492014,14749.91374,0.474991374
4/6/2021,60.5,63.43999863,60.43999863,61.93999863,39518700,57.3659996,58.66599998,56.66599998,57.7779995,21274720,57.49750004,58.76599998,56.59699993,57.85749969,22565335,0,-1,55,0.1,16224.90511,0.622490511
4/23/2021,56.77000046,57.74000168,56.43000031,57.52999878,10803300,58.17599983,58.73800049,57.14999962,57.92800026,14502150,58.44649982,59.24900036,57.5704998,58.47849998,17405435,0,-1,61.86000061,-0.082282575,14889.87813,0.488987813
6/23/2021,59.84999847,60.43000031,59.45999908,60.11999893,11527900,60.90400009,61.26699982,59.88899994,60.36900024,16165540,61.11150017,61.60250034,60.13449993,60.84500027,17369135,0,-1,59.88000107,-0.000501045,14882.41763,0.488241763
10/29/2021,53.90000153,55.04000092,53.61000061,54.43000031,16680700,56.73099976,57.32400055,56.05999985,56.56499939,16590520,56.74849987,57.48450031,55.99550018,56.67099953,19273820,0,-1,50.79000092,0.061232537,15793.70582,0.579370582
